Date,TxType,Value
2021-08-28,RTGS-Vol,1.21
2021-08-29,RTGS-Vol,0.34
2021-08-30,RTGS-Vol,5.03
2021-08-31,RTGS-Vol,9.09
2021-09-01,RTGS-Vol,7.27
2021-09-02,RTGS-Vol,6.95
2021-09-03,RTGS-Vol,6.76
2021-09-04,RTGS-Vol,5.52
2021-09-05,RTGS-Vol,0.39
2021-09-06,RTGS-Vol,7.28
2021-09-07,RTGS-Vol,6.97
2021-09-08,RTGS-Vol,6.96
2021-09-09,RTGS-Vol,7.62
2021-09-10,RTGS-Vol,3.7
2021-09-11,RTGS-Vol,1.03
2021-09-12,RTGS-Vol,0.33
2021-09-13,RTGS-Vol,9.16
2021-09-14,RTGS-Vol,7.61
2021-09-15,RTGS-Vol,7.36
2021-09-16,RTGS-Vol,6.88
2021-09-17,RTGS-Vol,6.46
2021-09-18,RTGS-Vol,5.49
2021-09-19,RTGS-Vol,0.39
2021-09-20,RTGS-Vol,7.59
2021-09-21,RTGS-Vol,6.9
2021-09-22,RTGS-Vol,6.92
2021-09-23,RTGS-Vol,6.74
2021-09-24,RTGS-Vol,7.55
2021-09-25,RTGS-Vol,1.23
2021-09-26,RTGS-Vol,0.35
2021-09-27,RTGS-Vol,8.38
2021-09-28,RTGS-Vol,8.26
2021-09-29,RTGS-Vol,7.99
2021-09-30,RTGS-Vol,8.52
2021-10-01,RTGS-Vol,7.76
2021-10-02,RTGS-Vol,0.86
2021-10-03,RTGS-Vol,0.4
2021-10-04,RTGS-Vol,9.06
2021-10-05,RTGS-Vol,7.87
2021-10-06,RTGS-Vol,6.76
2021-10-07,RTGS-Vol,7.72
2021-10-08,RTGS-Vol,8.39
2021-10-09,RTGS-Vol,1.34
2021-10-10,RTGS-Vol,0.46
2021-10-11,RTGS-Vol,10.11
2021-10-12,RTGS-Vol,8.31
2021-10-13,RTGS-Vol,7.66
2021-10-14,RTGS-Vol,5.82
2021-10-15,RTGS-Vol,0.86
2021-10-16,RTGS-Vol,6.76
2021-10-17,RTGS-Vol,0.44
2021-10-18,RTGS-Vol,8.92
2021-10-19,RTGS-Vol,3.69
2021-10-20,RTGS-Vol,8.02
2021-10-21,RTGS-Vol,8.68
2021-10-22,RTGS-Vol,8.52
2021-10-23,RTGS-Vol,1.36
2021-10-24,RTGS-Vol,0.43
2021-10-25,RTGS-Vol,10.45
2021-10-26,RTGS-Vol,8.69
2021-10-27,RTGS-Vol,8.42
2021-10-28,RTGS-Vol,8.53
2021-10-29,RTGS-Vol,9.08
2021-10-30,RTGS-Vol,8.06
2021-10-31,RTGS-Vol,0.69
2021-11-01,RTGS-Vol,8.87
2021-11-02,RTGS-Vol,8.28
2021-11-03,RTGS-Vol,7.36
2021-11-04,RTGS-Vol,0.94
2021-11-05,RTGS-Vol,2.48
2021-11-06,RTGS-Vol,3.75
2021-11-07,RTGS-Vol,0.42
2021-11-08,RTGS-Vol,7.43
2021-11-09,RTGS-Vol,7.38
2021-11-10,RTGS-Vol,6.74
2021-11-11,RTGS-Vol,6.71
2021-11-12,RTGS-Vol,7.69
2021-11-13,RTGS-Vol,1.27
2021-11-14,RTGS-Vol,0.4
2021-11-15,RTGS-Vol,9.29
2021-11-16,RTGS-Vol,7.65
2021-11-17,RTGS-Vol,7.57
2021-11-18,RTGS-Vol,7.59
2021-11-19,RTGS-Vol,3.26
2021-11-20,RTGS-Vol,6.91
2021-11-21,RTGS-Vol,0.41
2021-11-22,RTGS-Vol,7.68
2021-11-23,RTGS-Vol,7.98
2021-11-24,RTGS-Vol,7.5
2021-11-25,RTGS-Vol,7.58
2021-11-26,RTGS-Vol,8.21
2021-11-27,RTGS-Vol,1.31
2021-11-28,RTGS-Vol,0.43
2021-11-29,RTGS-Vol,9.99
2021-11-30,RTGS-Vol,9.08
2021-12-01,RTGS-Vol,7.32
2021-12-02,RTGS-Vol,6.95
2021-12-03,RTGS-Vol,7.13
2021-12-04,RTGS-Vol,5.89
2021-12-05,RTGS-Vol,0.45
2021-12-06,RTGS-Vol,7.89
2021-12-07,RTGS-Vol,7.42
2021-12-08,RTGS-Vol,7.1
2021-12-09,RTGS-Vol,7.12
2021-12-10,RTGS-Vol,7.87
2021-12-11,RTGS-Vol,1.27
2021-12-12,RTGS-Vol,0.4
2021-12-13,RTGS-Vol,9.33
2021-12-14,RTGS-Vol,7.94
2021-12-15,RTGS-Vol,8.05
2021-12-16,RTGS-Vol,4.68
2021-12-17,RTGS-Vol,4.29
2021-12-18,RTGS-Vol,8.01
2021-12-19,RTGS-Vol,0.44
2021-12-20,RTGS-Vol,8.9
2021-12-21,RTGS-Vol,7.98
2021-12-22,RTGS-Vol,7.8
2021-12-23,RTGS-Vol,7.55
2021-12-24,RTGS-Vol,8.07
2021-12-25,RTGS-Vol,1.09
2021-12-26,RTGS-Vol,0.42
2021-12-27,RTGS-Vol,9.43
2021-12-28,RTGS-Vol,8.14
2021-12-29,RTGS-Vol,7.93
2021-12-30,RTGS-Vol,7.96
2021-12-31,RTGS-Vol,7.97
2022-01-01,RTGS-Vol,4.38
2022-01-02,RTGS-Vol,0.41
2022-01-03,RTGS-Vol,7.93
2022-01-04,RTGS-Vol,7.44
2022-01-05,RTGS-Vol,7.24
2022-01-06,RTGS-Vol,7.22
2022-01-07,RTGS-Vol,8.15
2022-01-08,RTGS-Vol,1.28
2022-01-09,RTGS-Vol,0.4
2022-01-10,RTGS-Vol,9.73
2022-01-11,RTGS-Vol,8.07
2022-01-12,RTGS-Vol,7.58
2022-01-13,RTGS-Vol,7.65
2022-01-14,RTGS-Vol,5.2
2022-01-15,RTGS-Vol,4.14
2022-01-16,RTGS-Vol,0.43
2022-01-17,RTGS-Vol,7.94
2022-01-18,RTGS-Vol,7.31
2022-01-19,RTGS-Vol,7.65
2022-01-20,RTGS-Vol,7.58
2022-01-21,RTGS-Vol,7.96
2022-01-22,RTGS-Vol,1.3
2022-01-23,RTGS-Vol,0.39
2022-01-24,RTGS-Vol,9.29
2022-01-25,RTGS-Vol,8.76
2022-01-26,RTGS-Vol,0.76
2022-01-27,RTGS-Vol,9.09
2022-01-28,RTGS-Vol,8.53
2022-01-29,RTGS-Vol,7.09
2022-01-30,RTGS-Vol,0.58
2022-01-31,RTGS-Vol,9.8
2022-02-01,RTGS-Vol,7.86
2022-02-02,RTGS-Vol,7.58
2022-02-03,RTGS-Vol,7.37
2022-02-04,RTGS-Vol,7.49
2022-02-05,RTGS-Vol,5.5
2022-02-06,RTGS-Vol,0.47
2022-02-07,RTGS-Vol,7.28
2022-02-08,RTGS-Vol,8.24
2022-02-09,RTGS-Vol,7.63
2022-02-10,RTGS-Vol,7.38
2022-02-11,RTGS-Vol,8.09
2022-02-12,RTGS-Vol,1.36
2022-02-13,RTGS-Vol,0.45
2022-02-14,RTGS-Vol,9.82
2022-02-15,RTGS-Vol,8.17
2022-02-16,RTGS-Vol,7.89
2022-02-17,RTGS-Vol,7.85
2022-02-18,RTGS-Vol,7.89
2022-02-19,RTGS-Vol,5.09
2022-02-20,RTGS-Vol,0.48
2022-02-21,RTGS-Vol,8.58
2022-02-22,RTGS-Vol,8.14
2022-02-23,RTGS-Vol,7.87
2022-02-24,RTGS-Vol,8.15
2022-02-25,RTGS-Vol,9.36
2022-02-26,RTGS-Vol,1.66
2022-02-27,RTGS-Vol,0.55
2022-02-28,RTGS-Vol,12.07
2022-03-01,RTGS-Vol,3.58
2022-03-02,RTGS-Vol,10.04
2022-03-03,RTGS-Vol,8.79
2022-03-04,RTGS-Vol,8.65
2022-03-05,RTGS-Vol,7.23
2022-03-06,RTGS-Vol,0.59
2022-03-07,RTGS-Vol,9.63
2022-03-08,RTGS-Vol,8.96
2022-03-09,RTGS-Vol,8.73
2022-03-10,RTGS-Vol,8.57
2022-03-11,RTGS-Vol,9.25
2022-03-12,RTGS-Vol,1.61
2022-03-13,RTGS-Vol,0.5
2022-03-14,RTGS-Vol,11.17
2022-03-15,RTGS-Vol,9.79
2022-03-16,RTGS-Vol,9.27
2022-03-17,RTGS-Vol,7.99
2022-03-18,RTGS-Vol,1.96
2022-03-19,RTGS-Vol,5.42
2022-03-20,RTGS-Vol,0.51
2022-03-21,RTGS-Vol,9.67
2022-03-22,RTGS-Vol,8.91
2022-03-23,RTGS-Vol,9.23
2022-03-24,RTGS-Vol,9.4
2022-03-25,RTGS-Vol,10.77
2022-03-26,RTGS-Vol,2.07
2022-03-27,RTGS-Vol,0.63
2022-03-28,RTGS-Vol,9.97
2022-03-29,RTGS-Vol,8.82
2022-03-30,RTGS-Vol,14.07
2022-03-31,RTGS-Vol,14.25
2022-04-01,RTGS-Vol,0.73
2022-04-02,RTGS-Vol,5.67
2022-04-03,RTGS-Vol,0.64
2022-04-04,RTGS-Vol,10.57
2022-04-05,RTGS-Vol,8.76
2022-04-06,RTGS-Vol,8.48
2022-04-07,RTGS-Vol,8.36
2022-04-08,RTGS-Vol,8.87
2022-04-09,RTGS-Vol,1.58
2022-04-10,RTGS-Vol,0.52
2022-04-11,RTGS-Vol,10.33
2022-04-12,RTGS-Vol,9.08
2022-04-13,RTGS-Vol,9.64
2022-04-14,RTGS-Vol,1.94
2022-04-15,RTGS-Vol,2.14
2022-04-16,RTGS-Vol,8.28
2022-04-17,RTGS-Vol,0.58
2022-04-18,RTGS-Vol,9.76
2022-04-19,RTGS-Vol,9.08
2022-04-20,RTGS-Vol,8.6
2022-04-21,RTGS-Vol,7.97
2022-04-22,RTGS-Vol,8.53
2022-04-23,RTGS-Vol,1.61
2022-04-24,RTGS-Vol,0.51
2022-04-25,RTGS-Vol,10.54
2022-04-26,RTGS-Vol,9.07
2022-04-27,RTGS-Vol,8.54
2022-04-28,RTGS-Vol,8.46
2022-04-29,RTGS-Vol,8.68
2022-04-30,RTGS-Vol,7.79
2022-05-01,RTGS-Vol,0.59
2022-05-02,RTGS-Vol,8.31
2022-05-03,RTGS-Vol,1.58
2022-05-04,RTGS-Vol,9.49
2022-05-05,RTGS-Vol,8.29
